KoinWorks,Indonesia,None,Financial tech,consumer-lending,"Lending, loans, and credit","KoinWorks is a financial technology company aiming to democratize finance in Indonesia, expanding access to a much wider group of people than is currently being served by traditional financial institutions.","[('AngelList', 'https://angel.co/koinworks'), ('Instagram', 'http://www.instagram.com/koinworks'), ('LinkedIn', 'https://www.linkedin.com/company/lunaria-annua-teknologi'), ('Facebook', 'https://www.facebook.com/koinworks'), ('Website', 'http://www.koinworks.com'), ('Twitter', 'https://twitter.com/koinworks')]",51 to 200,2015-02-01,Series A,16425000,2018-08-23
Paytm (One97),India,New Delhi,Financial tech,mobile-payments,Payments and remittance,Paytm is a payment processor built specifically for India’s mobile shoppers.,"[('Android App', 'https://play.google.com/store/apps/details?id=net.one97.paytm'), ('Facebook', 'https://www.facebook.com/Paytm'), ('iOS App', 'https://itunes.apple.com/in/app/mobile-recharge-bill-payments/id473941634'), ('CrunchBase', 'https://www.crunchbase.com/organization/paytm'), ('AngelList', 'https://angel.co/paytm'), ('LinkedIn', 'https://www.linkedin.com/company/paytm-mobile-solutions-pvt-ltd-'), ('Website', 'https://paytm.com'), ('Twitter', 'https://twitter.com/paytm')]",1001 to 5000,2013-03-01,Series A,10000000,2007-01-01
Token Gazer (投肯科技),China,Shanghai,Financial tech,financial-administration,Financial accounting and admin,Token Gazer (投肯科技) is a research company that focuses on  blockchain investment information.,"[('ITjuzi', 'https://www.itjuzi.com/company/32890844'), ('Website', 'http://tokengazer.com'), ('Weibo', 'https://weibo.com/u/6549518635')]",11 to 50,2018-03-01,Seed,1470000,2018-08-22
Ajaib,Indonesia,Jakarta,Financial tech,investments,Investment tools and platforms,"Ajaib is an online finance manager that recommends its users what the right portfolio is, then auto-manage the portfolio for them.","[('Facebook', 'https://www.facebook.com/ajaib.indonesia'), ('LinkedIn', 'https://www.linkedin.com/company/ajaib-id'), ('Website', 'https://www.ajaib.co.id')]",11 to 50,2018-01-01,Seed,120000,2018-08-22
Walnut ( Thumbworks Technologies Pvt. Ltd ),India,Pune,Financial tech,financial-administration,Financial accounting and admin,"Walnut makes it simple for users to understand and manage their finances with as little input as possible by tracking their expenses, bank balances and bills.","[('Facebook', 'https://www.facebook.com/getwalnutapp'), ('Website', 'http://www.getwalnut.com'), ('Android App', 'https://play.google.com/store/apps/details?id=com.daamitt.walnut.app&referrer=utm_source%3DGetWalnutComV3%26utm_medium%3DHomeHeaderCta%26utm_campaign%3DHomeHeaderCta'), ('LinkedIn', 'https://www.linkedin.com/company/9545087'), ('Twitter', 'https://twitter.com/getwalnutapp')]",11 to 50,2014-01-01,M&A,30000000,2018-08-22
Black Fish (小黑鱼),China,Nanjing,Financial tech,mobile-payments,Payments and remittance,"Black Fish (小黑鱼) is a Nanjing-based consumer finance platform that utilizes big data, artificial intelligence, and machine learning to assist in consumer spending, mobile payment, and other internet services.","[('Wechat', '小黑鱼微管家'), ('Weibo', 'http://weibo.com/chenfuwei'), ('Website', 'http://www.blackfish.cn'), ('ITjuzi', 'http://www.itjuzi.com/company/19802235'), ('CrunchBase', 'http://www.crunchbase.com/organization/black-fish')]",11 to 50,2017-03-01,Series A,145000000,2018-01-10
X Infinity,Singapore,Singapore,Financial tech,cryptocurrency,Cryptocurrency,X Infinity offers a unified cryptocurrency wallet that allows consumers and merchants to transact easily using any blockchain asset as currency.,"[('LinkedIn', 'https://www.linkedin.com/company/x-infinity-pte-ltd'), ('Facebook', 'https://www.facebook.com/xinfinityltd'), ('Website', 'http://www.xinfinity.io')]",11 to 50,2017-01-01,ICO,20500000,2018-08-21
BHex,China,None,Financial tech,investments,Investment tools and platforms,BHex is a decentralized digital currency asset escrow and open trading platform.,"[('ITjuzi', 'https://www.itjuzi.com/company/33097051')]",2 to 10,2018-03-01,Seed,15000000,2018-04-01
Cicil,Indonesia,Jakarta,Financial tech,consumer-lending,"Lending, loans, and credit",Cicil is a platform that allows Indonesian university students to buy products by installment without using a credit card.,"[('LinkedIn', 'https://www.linkedin.com/company/13232431'), ('Twitter', 'https://twitter.com/Cicil_team'), ('Facebook', 'http://www.facebook.com/cicil.co.id'), ('Website', 'http://www.cicil.co.id'), ('Instagram', 'https://www.instagram.com/cicil.co')]",51 to 200,2016-09-21,Seed,0,2016-11-17
Youtap,Singapore,Singapore,Financial tech,mobile-payments,Payments and remittance,"Youtap is building the future of e-money merchant and supply chain payments to help people across growth markets by creating cashless ecosystems for e-money providers, retail and FMCG distribution groups and banks.","[('Facebook', 'http://www.facebook.com/youtap2pay'), ('Website', 'http://youtap.com'), ('Twitter', 'http://twitter.com/youtap2pay'), ('LinkedIn', 'https://www.linkedin.com/company/youtap-limited')]",11 to 50,2007-01-01,Strategic investment,0,2018-08-14
TokenPocket,China,Shenzhen,Financial tech,mobile-payments,Payments and remittance,TokenPocket is a blockchain digital wallet service provider.,"[('Website', 'http://www.mytokenpocket.vip'), ('ITjuzi', 'http://www.itjuzi.com/company/32806788'), ('CrunchBase', 'http://www.crunchbase.com/organization/tokenpocket')]",11 to 50,2018-04-01,Seed,0,2018-04-27
Xmebank (西米信储),China,Beijing,Financial tech,financial-administration,Financial accounting and admin,"Xmebank (西米信储) is a catering financial technology service platform, providing systematic solutions for catering industry.","[('Weibo', 'https://weibo.com/u/6431061619?refer_flag=1001030201_'), ('ITjuzi', 'https://www.itjuzi.com/company/62839'), ('Website', 'http://www.xmebank.com'), ('Wechat', 'xmebank')]",51 to 200,2016-09-01,Series A,4410000,2018-08-13
